"constraint_name","table_name","column_name","foreign_table_name","foreign_column_name"
"pg_proc_oid_index","pg_proc","oid","pg_proc","oid"
"pg_type_oid_index","pg_type","oid","pg_type","oid"
"pg_attribute_relid_attnum_index","pg_attribute","attrelid","pg_attribute","attrelid"
"pg_attribute_relid_attnum_index","pg_attribute","attrelid","pg_attribute","attnum"
"pg_attribute_relid_attnum_index","pg_attribute","attnum","pg_attribute","attrelid"
"pg_attribute_relid_attnum_index","pg_attribute","attnum","pg_attribute","attnum"
"pg_class_oid_index","pg_class","oid","pg_class","oid"
"pg_attrdef_oid_index","pg_attrdef","oid","pg_attrdef","oid"
"pg_constraint_oid_index","pg_constraint","oid","pg_constraint","oid"
"pg_inherits_relid_seqno_index","pg_inherits","inhrelid","pg_inherits","inhrelid"
"pg_inherits_relid_seqno_index","pg_inherits","inhrelid","pg_inherits","inhseqno"
"pg_inherits_relid_seqno_index","pg_inherits","inhseqno","pg_inherits","inhrelid"
"pg_inherits_relid_seqno_index","pg_inherits","inhseqno","pg_inherits","inhseqno"
"pg_index_indexrelid_index","pg_index","indexrelid","pg_index","indexrelid"
"pg_operator_oid_index","pg_operator","oid","pg_operator","oid"
"pg_opfamily_oid_index","pg_opfamily","oid","pg_opfamily","oid"
"pg_opclass_oid_index","pg_opclass","oid","pg_opclass","oid"
"pg_am_oid_index","pg_am","oid","pg_am","oid"
"pg_amop_oid_index","pg_amop","oid","pg_amop","oid"
"pg_amproc_oid_index","pg_amproc","oid","pg_amproc","oid"
"pg_language_oid_index","pg_language","oid","pg_language","oid"
"pg_largeobject_metadata_oid_index","pg_largeobject_metadata","oid","pg_largeobject_metadata","oid"
"pg_largeobject_loid_pn_index","pg_largeobject","loid","pg_largeobject","loid"
"pg_largeobject_loid_pn_index","pg_largeobject","loid","pg_largeobject","pageno"
"pg_largeobject_loid_pn_index","pg_largeobject","pageno","pg_largeobject","loid"
"pg_largeobject_loid_pn_index","pg_largeobject","pageno","pg_largeobject","pageno"
"pg_aggregate_fnoid_index","pg_aggregate","aggfnoid","pg_aggregate","aggfnoid"
"pg_statistic_relid_att_inh_index","pg_statistic","starelid","pg_statistic","starelid"
"pg_statistic_relid_att_inh_index","pg_statistic","starelid","pg_statistic","staattnum"
"pg_statistic_relid_att_inh_index","pg_statistic","starelid","pg_statistic","stainherit"
"pg_statistic_relid_att_inh_index","pg_statistic","staattnum","pg_statistic","starelid"
"pg_statistic_relid_att_inh_index","pg_statistic","staattnum","pg_statistic","staattnum"
"pg_statistic_relid_att_inh_index","pg_statistic","staattnum","pg_statistic","stainherit"
"pg_statistic_relid_att_inh_index","pg_statistic","stainherit","pg_statistic","starelid"
"pg_statistic_relid_att_inh_index","pg_statistic","stainherit","pg_statistic","staattnum"
"pg_statistic_relid_att_inh_index","pg_statistic","stainherit","pg_statistic","stainherit"
"pg_statistic_ext_oid_index","pg_statistic_ext","oid","pg_statistic_ext","oid"
"pg_statistic_ext_data_stxoid_inh_index","pg_statistic_ext_data","stxoid","pg_statistic_ext_data","stxoid"
"pg_statistic_ext_data_stxoid_inh_index","pg_statistic_ext_data","stxoid","pg_statistic_ext_data","stxdinherit"
"pg_statistic_ext_data_stxoid_inh_index","pg_statistic_ext_data","stxdinherit","pg_statistic_ext_data","stxoid"
"pg_statistic_ext_data_stxoid_inh_index","pg_statistic_ext_data","stxdinherit","pg_statistic_ext_data","stxdinherit"
"pg_rewrite_oid_index","pg_rewrite","oid","pg_rewrite","oid"
"pg_trigger_oid_index","pg_trigger","oid","pg_trigger","oid"
"pg_event_trigger_oid_index","pg_event_trigger","oid","pg_event_trigger","oid"
"pg_description_o_c_o_index","pg_description","objoid","pg_description","objoid"
"pg_description_o_c_o_index","pg_description","objoid","pg_description","classoid"
"pg_description_o_c_o_index","pg_description","objoid","pg_description","objsubid"
"pg_description_o_c_o_index","pg_description","classoid","pg_description","objoid"
"pg_description_o_c_o_index","pg_description","classoid","pg_description","classoid"
"pg_description_o_c_o_index","pg_description","classoid","pg_description","objsubid"
"pg_description_o_c_o_index","pg_description","objsubid","pg_description","objoid"
"pg_description_o_c_o_index","pg_description","objsubid","pg_description","classoid"
"pg_description_o_c_o_index","pg_description","objsubid","pg_description","objsubid"
"pg_cast_oid_index","pg_cast","oid","pg_cast","oid"
"pg_enum_oid_index","pg_enum","oid","pg_enum","oid"
"pg_namespace_oid_index","pg_namespace","oid","pg_namespace","oid"
"pg_conversion_oid_index","pg_conversion","oid","pg_conversion","oid"
"pg_database_oid_index","pg_database","oid","pg_database","oid"
"pg_db_role_setting_databaseid_rol_index","pg_db_role_setting","setdatabase","pg_db_role_setting","setdatabase"
"pg_db_role_setting_databaseid_rol_index","pg_db_role_setting","setdatabase","pg_db_role_setting","setrole"
"pg_db_role_setting_databaseid_rol_index","pg_db_role_setting","setrole","pg_db_role_setting","setdatabase"
"pg_db_role_setting_databaseid_rol_index","pg_db_role_setting","setrole","pg_db_role_setting","setrole"
"pg_tablespace_oid_index","pg_tablespace","oid","pg_tablespace","oid"
"pg_authid_oid_index","pg_authid","oid","pg_authid","oid"
"pg_auth_members_oid_index","pg_auth_members","oid","pg_auth_members","oid"
"pg_shdescription_o_c_index","pg_shdescription","objoid","pg_shdescription","objoid"
"pg_shdescription_o_c_index","pg_shdescription","objoid","pg_shdescription","classoid"
"pg_shdescription_o_c_index","pg_shdescription","classoid","pg_shdescription","objoid"
"pg_shdescription_o_c_index","pg_shdescription","classoid","pg_shdescription","classoid"
"pg_ts_config_oid_index","pg_ts_config","oid","pg_ts_config","oid"
"pg_ts_config_map_index","pg_ts_config_map","mapcfg","pg_ts_config_map","mapcfg"
"pg_ts_config_map_index","pg_ts_config_map","mapcfg","pg_ts_config_map","maptokentype"
"pg_ts_config_map_index","pg_ts_config_map","mapcfg","pg_ts_config_map","mapseqno"
"pg_ts_config_map_index","pg_ts_config_map","maptokentype","pg_ts_config_map","mapcfg"
"pg_ts_config_map_index","pg_ts_config_map","maptokentype","pg_ts_config_map","maptokentype"
"pg_ts_config_map_index","pg_ts_config_map","maptokentype","pg_ts_config_map","mapseqno"
"pg_ts_config_map_index","pg_ts_config_map","mapseqno","pg_ts_config_map","mapcfg"
"pg_ts_config_map_index","pg_ts_config_map","mapseqno","pg_ts_config_map","maptokentype"
"pg_ts_config_map_index","pg_ts_config_map","mapseqno","pg_ts_config_map","mapseqno"
"pg_ts_dict_oid_index","pg_ts_dict","oid","pg_ts_dict","oid"
"pg_ts_parser_oid_index","pg_ts_parser","oid","pg_ts_parser","oid"
"pg_ts_template_oid_index","pg_ts_template","oid","pg_ts_template","oid"
"pg_extension_oid_index","pg_extension","oid","pg_extension","oid"
"pg_foreign_data_wrapper_oid_index","pg_foreign_data_wrapper","oid","pg_foreign_data_wrapper","oid"
"pg_foreign_server_oid_index","pg_foreign_server","oid","pg_foreign_server","oid"
"pg_user_mapping_oid_index","pg_user_mapping","oid","pg_user_mapping","oid"
"pg_foreign_table_relid_index","pg_foreign_table","ftrelid","pg_foreign_table","ftrelid"
"pg_policy_oid_index","pg_policy","oid","pg_policy","oid"
"pg_replication_origin_roiident_index","pg_replication_origin","roident","pg_replication_origin","roident"
"pg_default_acl_oid_index","pg_default_acl","oid","pg_default_acl","oid"
"pg_init_privs_o_c_o_index","pg_init_privs","objoid","pg_init_privs","objoid"
"pg_init_privs_o_c_o_index","pg_init_privs","objoid","pg_init_privs","classoid"
"pg_init_privs_o_c_o_index","pg_init_privs","objoid","pg_init_privs","objsubid"
"pg_init_privs_o_c_o_index","pg_init_privs","classoid","pg_init_privs","objoid"
"pg_init_privs_o_c_o_index","pg_init_privs","classoid","pg_init_privs","classoid"
"pg_init_privs_o_c_o_index","pg_init_privs","classoid","pg_init_privs","objsubid"
"pg_init_privs_o_c_o_index","pg_init_privs","objsubid","pg_init_privs","objoid"
"pg_init_privs_o_c_o_index","pg_init_privs","objsubid","pg_init_privs","classoid"
"pg_init_privs_o_c_o_index","pg_init_privs","objsubid","pg_init_privs","objsubid"
"pg_seclabel_object_index","pg_seclabel","objoid","pg_seclabel","objoid"
"pg_seclabel_object_index","pg_seclabel","objoid","pg_seclabel","classoid"
"pg_seclabel_object_index","pg_seclabel","objoid","pg_seclabel","objsubid"
"pg_seclabel_object_index","pg_seclabel","objoid","pg_seclabel","provider"
"pg_seclabel_object_index","pg_seclabel","classoid","pg_seclabel","objoid"
"pg_seclabel_object_index","pg_seclabel","classoid","pg_seclabel","classoid"
"pg_seclabel_object_index","pg_seclabel","classoid","pg_seclabel","objsubid"
"pg_seclabel_object_index","pg_seclabel","classoid","pg_seclabel","provider"
"pg_seclabel_object_index","pg_seclabel","objsubid","pg_seclabel","objoid"
"pg_seclabel_object_index","pg_seclabel","objsubid","pg_seclabel","classoid"
"pg_seclabel_object_index","pg_seclabel","objsubid","pg_seclabel","objsubid"
"pg_seclabel_object_index","pg_seclabel","objsubid","pg_seclabel","provider"
"pg_seclabel_object_index","pg_seclabel","provider","pg_seclabel","objoid"
"pg_seclabel_object_index","pg_seclabel","provider","pg_seclabel","classoid"
"pg_seclabel_object_index","pg_seclabel","provider","pg_seclabel","objsubid"
"pg_seclabel_object_index","pg_seclabel","provider","pg_seclabel","provider"
"pg_shseclabel_object_index","pg_shseclabel","objoid","pg_shseclabel","objoid"
"pg_shseclabel_object_index","pg_shseclabel","objoid","pg_shseclabel","classoid"
"pg_shseclabel_object_index","pg_shseclabel","objoid","pg_shseclabel","provider"
"pg_shseclabel_object_index","pg_shseclabel","classoid","pg_shseclabel","objoid"
"pg_shseclabel_object_index","pg_shseclabel","classoid","pg_shseclabel","classoid"
"pg_shseclabel_object_index","pg_shseclabel","classoid","pg_shseclabel","provider"
"pg_shseclabel_object_index","pg_shseclabel","provider","pg_shseclabel","objoid"
"pg_shseclabel_object_index","pg_shseclabel","provider","pg_shseclabel","classoid"
"pg_shseclabel_object_index","pg_shseclabel","provider","pg_shseclabel","provider"
"pg_collation_oid_index","pg_collation","oid","pg_collation","oid"
"pg_parameter_acl_oid_index","pg_parameter_acl","oid","pg_parameter_acl","oid"
"pg_partitioned_table_partrelid_index","pg_partitioned_table","partrelid","pg_partitioned_table","partrelid"
"pg_range_rngtypid_index","pg_range","rngtypid","pg_range","rngtypid"
"pg_transform_oid_index","pg_transform","oid","pg_transform","oid"
"pg_sequence_seqrelid_index","pg_sequence","seqrelid","pg_sequence","seqrelid"
"pg_publication_oid_index","pg_publication","oid","pg_publication","oid"
"pg_publication_namespace_oid_index","pg_publication_namespace","oid","pg_publication_namespace","oid"
"pg_publication_rel_oid_index","pg_publication_rel","oid","pg_publication_rel","oid"
"pg_subscription_oid_index","pg_subscription","oid","pg_subscription","oid"
"pg_subscription_rel_srrelid_srsubid_index","pg_subscription_rel","srrelid","pg_subscription_rel","srsubid"
"pg_subscription_rel_srrelid_srsubid_index","pg_subscription_rel","srrelid","pg_subscription_rel","srrelid"
"pg_subscription_rel_srrelid_srsubid_index","pg_subscription_rel","srsubid","pg_subscription_rel","srsubid"
"pg_subscription_rel_srrelid_srsubid_index","pg_subscription_rel","srsubid","pg_subscription_rel","srrelid"
"spatial_ref_sys_pkey","spatial_ref_sys","srid","spatial_ref_sys","srid"
"auth_group_permissions_pkey","auth_group_permissions","id","auth_group_permissions","id"
"auth_group_pkey","auth_group","id","auth_group","id"
"auth_permission_pkey","auth_permission","id","auth_permission","id"
"auth_user_groups_pkey","auth_user_groups","id","auth_user_groups","id"
"auth_user_pkey","auth_user","id","auth_user","id"
"auth_user_user_permissions_pkey","auth_user_user_permissions","id","auth_user_user_permissions","id"
"cocoaApp_acheteur_pkey","cocoaApp_acheteur","id","cocoaApp_acheteur","id"
"cocoaApp_cooperativeproducteur_pkey","cocoaApp_cooperativeproducteur","id","cocoaApp_cooperativeproducteur","id"
"cocoaApp_lot_pkey","cocoaApp_lot","id","cocoaApp_lot","id"
"cocoaApp_parcelle_pkey","cocoaApp_parcelle","id_parcelle","cocoaApp_parcelle","id_parcelle"
"cocoaApp_producteur_pkey","cocoaApp_producteur","id_producteur","cocoaApp_producteur","id_producteur"
"cocoaApp_sac_pkey","cocoaApp_sac","id","cocoaApp_sac","id"
"django_admin_log_pkey","django_admin_log","id","django_admin_log","id"
"django_content_type_pkey","django_content_type","id","django_content_type","id"
"django_migrations_pkey","django_migrations","id","django_migrations","id"
"django_session_pkey","django_session","session_key","django_session","session_key"
"pk_id_coop","cocoaApp_cooperative","id_coop","cocoaApp_cooperative","id_coop"
